orderNumber, styleNumber, units, price
100209,5000209,309,22.3
100210,5000210,310,22.31
100211,5000211,311,22.32
100212,5000212,312,22.33
100213,5000213,313,22.34
100214,5000214,314,22.35
100215,5000215,315,22.36
100216,5000216,316,22.37
100217,5000217,317,22.38
100218,5000218,318,22.39
100219,5000219,319,22.4
100220,5000220,320,22.41
100221,5000221,321,22.42
100222,5000222,322,22.43
100223,5000223,323,22.44
100224,5000224,324,22.45
100225,5000225,325,22.46
100226,5000226,326,22.47
100227,5000227,327,22.48
100228,5000228,328,22.49
100229,5000229,329,22.5
100230,5000230,330,22.51
100231,5000231,331,22.52
100232,5000232,332,22.53
100233,5000233,333,22.54
100234,5000234,334,22.55
100235,5000235,335,22.56
100236,5000236,336,22.57
100237,5000237,337,22.58
100238,5000238,338,22.59
100239,5000239,339,22.6
100240,5000240,340,22.61
100241,5000241,341,22.62
100242,5000242,342,22.63
100243,5000243,343,22.64
100244,5000244,344,22.65
100245,5000245,345,22.66
100246,5000246,346,22.67
100247,5000247,347,22.68
100248,5000248,348,22.69
100249,5000249,349,22.7
100250,5000250,350,22.71
100251,5000251,351,22.72
100252,5000252,352,22.73
100253,5000253,353,22.74
100254,5000254,354,22.75
100255,5000255,355,22.76
100256,5000256,356,22.77
100257,5000257,357,22.78
100258,5000258,358,22.79
100259,5000259,359,22.8
100260,5000260,360,22.81
100261,5000261,361,22.82
100262,5000262,362,22.83
100263,5000263,363,22.84
100264,5000264,364,22.85
100265,5000265,365,22.86
100266,5000266,366,22.87
100267,5000267,367,22.88
100268,5000268,368,22.89
100269,5000269,369,22.9
100270,5000270,370,22.91
100271,5000271,371,22.92
100272,5000272,372,22.93
100273,5000273,373,22.94
100274,5000274,374,22.95
100275,5000275,375,22.96
100276,5000276,376,22.97
100277,5000277,377,22.98
100278,5000278,378,22.99
100279,5000279,379,23
100280,5000280,380,23.01
100281,5000281,381,23.02
100282,5000282,382,23.03
100283,5000283,383,23.04
100284,5000284,384,23.05
100285,5000285,385,23.06
100286,5000286,386,23.07
100287,5000287,387,23.08
100288,5000288,388,23.09
100289,5000289,389,23.1
100290,5000290,390,23.11
100291,5000291,391,23.12
100292,5000292,392,23.13
100293,5000293,393,23.14
100294,5000294,394,23.15
100295,5000295,395,23.16
100296,5000296,396,23.17
100297,5000297,397,23.18
100298,5000298,398,23.19
100299,5000299,399,23.2
100300,5000300,400,23.21
100301,5000301,401,23.22
100302,5000302,402,23.23
100303,5000303,403,23.24
100304,5000304,404,23.25
100305,5000305,405,23.26
100306,5000306,406,23.27
100307,5000307,407,23.28
100308,5000308,408,23.29
100309,5000309,409,23.3
100310,5000310,410,23.31
100311,5000311,411,23.32
100312,5000312,412,23.33
100313,5000313,413,23.34
100314,5000314,414,23.35
100315,5000315,415,23.36
100316,5000316,416,23.37
100317,5000317,417,23.38
100318,5000318,418,23.39
100319,5000319,419,23.4
100320,5000320,420,23.41
100321,5000321,421,23.42
100322,5000322,422,23.43
100323,5000323,423,23.44
100324,5000324,424,23.45
100325,5000325,425,23.46
100326,5000326,426,23.47
100327,5000327,427,23.48
100328,5000328,428,23.49
100329,5000329,429,23.5
100330,5000330,430,23.51
100331,5000331,431,23.52
100332,5000332,432,23.53
100333,5000333,433,23.54
100334,5000334,434,23.55
100335,5000335,435,23.56
100336,5000336,436,23.57
100337,5000337,437,23.58
100338,5000338,438,23.59
100339,5000339,439,23.6
100340,5000340,440,23.61
100341,5000341,441,23.62
100342,5000342,442,23.63
100343,5000343,443,23.64
100344,5000344,444,23.65
100345,5000345,445,23.66
100346,5000346,446,23.67
100347,5000347,447,23.68
100348,5000348,448,23.69
100349,5000349,449,23.7
100350,5000350,450,23.71
100351,5000351,451,23.72
100352,5000352,452,23.73
100353,5000353,453,23.74
100354,5000354,454,23.75
100355,5000355,455,23.76
100356,5000356,456,23.77
100357,5000357,457,23.78
100358,5000358,458,23.79
100359,5000359,459,23.8
100360,5000360,460,23.81
100361,5000361,461,23.82
100362,5000362,462,23.83
100363,5000363,463,23.84
100364,5000364,464,23.85
100365,5000365,465,23.86
100366,5000366,466,23.87
100367,5000367,467,23.88
100368,5000368,468,23.89
100369,5000369,469,23.9
100370,5000370,470,23.91
100371,5000371,471,23.92
100372,5000372,472,23.93
100373,5000373,473,23.94
100374,5000374,474,23.95
100375,5000375,475,23.96
100376,5000376,476,23.97
100377,5000377,477,23.98
100378,5000378,478,23.99
100379,5000379,479,24
100380,5000380,480,24.01
100381,5000381,481,24.02
100382,5000382,482,24.03
100383,5000383,483,24.04
100384,5000384,484,24.05
100385,5000385,485,24.06
100386,5000386,486,24.07
100387,5000387,487,24.08
100388,5000388,488,24.09
100389,5000389,489,24.1
100390,5000390,490,24.11
100391,5000391,491,24.12
100392,5000392,492,24.13
100393,5000393,493,24.14
100394,5000394,494,24.15
100395,5000395,495,24.16
100396,5000396,496,24.17
100397,5000397,497,24.18
100398,5000398,498,24.19
100399,5000399,499,24.2
100400,5000400,500,24.21
100401,5000401,501,24.22
100402,5000402,502,24.23
100403,5000403,503,24.24
100404,5000404,504,24.25
100405,5000405,505,24.26
100406,5000406,506,24.27
100407,5000407,507,24.28
100408,5000408,508,24.29
100409,5000409,509,24.3
100410,5000410,510,24.31
100411,5000411,511,24.32
100412,5000412,512,24.33
100413,5000413,513,24.34
100414,5000414,514,24.35
100415,5000415,515,24.36
100416,5000416,516,24.37
100417,5000417,517,24.38
100418,5000418,518,24.39
100419,5000419,519,24.4
100420,5000420,520,24.41
100421,5000421,521,24.42
100422,5000422,522,24.43
100423,5000423,523,24.44
100424,5000424,524,24.45
100425,5000425,525,24.46
100426,5000426,526,24.47
100427,5000427,527,24.48
100428,5000428,528,24.49
100429,5000429,529,24.5
100430,5000430,530,24.51
100431,5000431,531,24.52
100432,5000432,532,24.53
100433,5000433,533,24.54
100434,5000434,534,24.55
100435,5000435,535,24.56
100436,5000436,536,24.57
100437,5000437,537,24.58
100438,5000438,538,24.59
100439,5000439,539,24.6
100440,5000440,540,24.61
100441,5000441,541,24.62
100442,5000442,542,24.63
100443,5000443,543,24.64
100444,5000444,544,24.65
100445,5000445,545,24.66
100446,5000446,546,24.67
100447,5000447,547,24.68
100448,5000448,548,24.69
100449,5000449,549,24.7
100450,5000450,550,24.71
100451,5000451,551,24.72
100452,5000452,552,24.73
100453,5000453,553,24.74
100454,5000454,554,24.75
100455,5000455,555,24.76
100456,5000456,556,24.77
100457,5000457,557,24.78
100458,5000458,558,24.79
100459,5000459,559,24.8
100460,5000460,560,24.81
100461,5000461,561,24.82
100462,5000462,562,24.83
100463,5000463,563,24.84
100464,5000464,564,24.85
100465,5000465,565,24.86
100466,5000466,566,24.87
100467,5000467,567,24.88
100468,5000468,568,24.89
100469,5000469,569,24.9
100470,5000470,570,24.91
100471,5000471,571,24.92
100472,5000472,572,24.93
100473,5000473,573,24.94
100474,5000474,574,24.95
100475,5000475,575,24.96
100476,5000476,576,24.97
100477,5000477,577,24.98
100478,5000478,578,24.99
100479,5000479,579,25
100480,5000480,580,25.01
100481,5000481,581,25.02
100482,5000482,582,25.03
100483,5000483,583,25.04
100484,5000484,584,25.05
100485,5000485,585,25.06
100486,5000486,586,25.07
100487,5000487,587,25.08
100488,5000488,588,25.09
100489,5000489,589,25.1
100490,5000490,590,25.11
100491,5000491,591,25.12
100492,5000492,592,25.13
100493,5000493,593,25.14
100494,5000494,594,25.15
100495,5000495,595,25.16
100496,5000496,596,25.17
100497,5000497,597,25.18
100498,5000498,598,25.19
100499,5000499,599,25.2
100500,5000500,600,25.21
100501,5000501,601,25.22
100502,5000502,602,25.23
100503,5000503,603,25.24
100504,5000504,604,25.25
100505,5000505,605,25.26
100506,5000506,606,25.27
100507,5000507,607,25.28
100508,5000508,608,25.29
100509,5000509,609,25.3
100510,5000510,610,25.31
100511,5000511,611,25.32
100512,5000512,612,25.33
100513,5000513,613,25.34
100514,5000514,614,25.35
100515,5000515,615,25.36
100516,5000516,616,25.37
100517,5000517,617,25.38
100518,5000518,618,25.39
100519,5000519,619,25.4
100520,5000520,620,25.41
100521,5000521,621,25.42
100522,5000522,622,25.43
100523,5000523,623,25.44
100524,5000524,624,25.45
100525,5000525,625,25.46
100526,5000526,626,25.47
100527,5000527,627,25.48
100528,5000528,628,25.49
100529,5000529,629,25.5
100530,5000530,630,25.51
100531,5000531,631,25.52
100532,5000532,632,25.53
100533,5000533,633,25.54
100534,5000534,634,25.55
100535,5000535,635,25.56
100536,5000536,636,25.57
100537,5000537,637,25.58
100538,5000538,638,25.59
100539,5000539,639,25.6
100540,5000540,640,25.61
100541,5000541,641,25.62
100542,5000542,642,25.63
100543,5000543,643,25.64
100544,5000544,644,25.65
100545,5000545,645,25.66
100546,5000546,646,25.67
100547,5000547,647,25.68
100548,5000548,648,25.69
100549,5000549,649,25.7
100550,5000550,650,25.71
100551,5000551,651,25.72
100552,5000552,652,25.73
100553,5000553,653,25.74
100554,5000554,654,25.75
100555,5000555,655,25.76
100556,5000556,656,25.77
100557,5000557,657,25.78
100558,5000558,658,25.79
100559,5000559,659,25.8
100560,5000560,660,25.81
100561,5000561,661,25.82
100562,5000562,662,25.83
100563,5000563,663,25.84
100564,5000564,664,25.85
100565,5000565,665,25.86
100566,5000566,666,25.87
100567,5000567,667,25.88
100568,5000568,668,25.89
100569,5000569,669,25.9
100570,5000570,670,25.91
100571,5000571,671,25.92
100572,5000572,672,25.93
100573,5000573,673,25.94
100574,5000574,674,25.95
100575,5000575,675,25.96
100576,5000576,676,25.97
100577,5000577,677,25.98
100578,5000578,678,25.99
100579,5000579,679,26
100580,5000580,680,26.01
100581,5000581,681,26.02
100582,5000582,682,26.03
100583,5000583,683,26.04
100584,5000584,684,26.05
100585,5000585,685,26.06
100586,5000586,686,26.07
100587,5000587,687,26.08
100588,5000588,688,26.09
100589,5000589,689,26.1
100590,5000590,690,26.11
100591,5000591,691,26.12
100592,5000592,692,26.13
100593,5000593,693,26.14
100594,5000594,694,26.15
100595,5000595,695,26.16
100596,5000596,696,26.17
100597,5000597,697,26.18
100598,5000598,698,26.19
100599,5000599,699,26.2
100600,5000600,700,26.21
100601,5000601,701,26.22
100602,5000602,702,26.23
100603,5000603,703,26.24
100604,5000604,704,26.25
100605,5000605,705,26.26
100606,5000606,706,26.27
100607,5000607,707,26.28
100608,5000608,708,26.29
100609,5000609,709,26.3
100610,5000610,710,26.31
100611,5000611,711,26.32
100612,5000612,712,26.33
100613,5000613,713,26.34
100614,5000614,714,26.35
100615,5000615,715,26.36
100616,5000616,716,26.37
100617,5000617,717,26.38
100618,5000618,718,26.39
100619,5000619,719,26.4
100620,5000620,720,26.41
100621,5000621,721,26.42
100622,5000622,722,26.43
100623,5000623,723,26.44
100624,5000624,724,26.45
100625,5000625,725,26.46
100626,5000626,726,26.47
100627,5000627,727,26.48
100628,5000628,728,26.49
100629,5000629,729,26.5
100630,5000630,730,26.51
100631,5000631,731,26.52
100632,5000632,732,26.53
100633,5000633,733,26.54
100634,5000634,734,26.55
100635,5000635,735,26.56
100636,5000636,736,26.57
100637,5000637,737,26.58
100638,5000638,738,26.59
100639,5000639,739,26.6
100640,5000640,740,26.61
100641,5000641,741,26.62
100642,5000642,742,26.63
100643,5000643,743,26.64
100644,5000644,744,26.65
100645,5000645,745,26.66
100646,5000646,746,26.67
100647,5000647,747,26.68
100648,5000648,748,26.69
100649,5000649,749,26.7
100650,5000650,750,26.71
100651,5000651,751,26.72
100652,5000652,752,26.73
100653,5000653,753,26.74
100654,5000654,754,26.75
100655,5000655,755,26.76
100656,5000656,756,26.77
100657,5000657,757,26.78
100658,5000658,758,26.79
100659,5000659,759,26.8
100660,5000660,760,26.81
100661,5000661,761,26.82
100662,5000662,762,26.83
100663,5000663,763,26.84
100664,5000664,764,26.85
100665,5000665,765,26.86
100666,5000666,766,26.87
100667,5000667,767,26.88
100668,5000668,768,26.89
100669,5000669,769,26.9
100670,5000670,770,26.91
100671,5000671,771,26.92
100672,5000672,772,26.93
100673,5000673,773,26.94
100674,5000674,774,26.95
100675,5000675,775,26.96
100676,5000676,776,26.97
100677,5000677,777,26.98
100678,5000678,778,26.99
100679,5000679,779,27
100680,5000680,780,27.01
100681,5000681,781,27.02
100682,5000682,782,27.03
100683,5000683,783,27.04
100684,5000684,784,27.05
100685,5000685,785,27.06
100686,5000686,786,27.07
100687,5000687,787,27.08
100688,5000688,788,27.09
100689,5000689,789,27.1
100690,5000690,790,27.11
100691,5000691,791,27.12
100692,5000692,792,27.13
100693,5000693,793,27.14
100694,5000694,794,27.15
100695,5000695,795,27.16
100696,5000696,796,27.17
100697,5000697,797,27.18
100698,5000698,798,27.19
100699,5000699,799,27.2
100700,5000700,800,27.21
100701,5000701,801,27.22
100702,5000702,802,27.23
100703,5000703,803,27.24
100704,5000704,804,27.25
100705,5000705,805,27.26
100706,5000706,806,27.27
100707,5000707,807,27.28
100708,5000708,808,27.29
100709,5000709,809,27.3
100710,5000710,810,27.31
100711,5000711,811,27.32
100712,5000712,812,27.33
100713,5000713,813,27.34
100714,5000714,814,27.35
100715,5000715,815,27.36
100716,5000716,816,27.37
100717,5000717,817,27.38
100718,5000718,818,27.39
100719,5000719,819,27.4
100720,5000720,820,27.41
100721,5000721,821,27.42
100722,5000722,822,27.43
100723,5000723,823,27.44
100724,5000724,824,27.45
100725,5000725,825,27.46
100726,5000726,826,27.47
100727,5000727,827,27.48
100728,5000728,828,27.49
100729,5000729,829,27.5
100730,5000730,830,27.51
100731,5000731,831,27.52
100732,5000732,832,27.53
100733,5000733,833,27.54
100734,5000734,834,27.55
100735,5000735,835,27.56
100736,5000736,836,27.57
100737,5000737,837,27.58
100738,5000738,838,27.59
100739,5000739,839,27.6
100740,5000740,840,27.61
100741,5000741,841,27.62
100742,5000742,842,27.63
100743,5000743,843,27.64
100744,5000744,844,27.65
100745,5000745,845,27.66
100746,5000746,846,27.67
100747,5000747,847,27.68
100748,5000748,848,27.69
100749,5000749,849,27.7
100750,5000750,850,27.71
100751,5000751,851,27.72
100752,5000752,852,27.73
100753,5000753,853,27.74
100754,5000754,854,27.75
100755,5000755,855,27.76
100756,5000756,856,27.77
100757,5000757,857,27.78
100758,5000758,858,27.79
100759,5000759,859,27.8
100760,5000760,860,27.81
100761,5000761,861,27.82
100762,5000762,862,27.83
100763,5000763,863,27.84
100764,5000764,864,27.85
100765,5000765,865,27.86
100766,5000766,866,27.87
100767,5000767,867,27.88
100768,5000768,868,27.89
100769,5000769,869,27.9
100770,5000770,870,27.91
100771,5000771,871,27.92
100772,5000772,872,27.93
100773,5000773,873,27.94
100774,5000774,874,27.95
100775,5000775,875,27.96
100776,5000776,876,27.97
100777,5000777,877,27.98
100778,5000778,878,27.99
100779,5000779,879,28
100780,5000780,880,28.01
100781,5000781,881,28.02
100782,5000782,882,28.03
100783,5000783,883,28.04
100784,5000784,884,28.05
100785,5000785,885,28.06
100786,5000786,886,28.07
100787,5000787,887,28.08
100788,5000788,888,28.09
100789,5000789,889,28.1
100790,5000790,890,28.11
100791,5000791,891,28.12
100792,5000792,892,28.13
100793,5000793,893,28.14
100794,5000794,894,28.15
100795,5000795,895,28.16
100796,5000796,896,28.17
100797,5000797,897,28.18
100798,5000798,898,28.19
100799,5000799,899,28.2
100800,5000800,900,28.21
100801,5000801,901,28.22
100802,5000802,902,28.23
100803,5000803,903,28.24
100804,5000804,904,28.25
100805,5000805,905,28.26
100806,5000806,906,28.27
100807,5000807,907,28.28
100808,5000808,908,28.29
100809,5000809,909,28.3
100810,5000810,910,28.31
100811,5000811,911,28.32
100812,5000812,912,28.33
100813,5000813,913,28.34
100814,5000814,914,28.35
100815,5000815,915,28.36
100816,5000816,916,28.37
100817,5000817,917,28.38
100818,5000818,918,28.39
100819,5000819,919,28.4
100820,5000820,920,28.41
100821,5000821,921,28.42
100822,5000822,922,28.43
100823,5000823,923,28.44
100824,5000824,924,28.45
100825,5000825,925,28.46
100826,5000826,926,28.47
100827,5000827,927,28.48
100828,5000828,928,28.49
100829,5000829,929,28.5
100830,5000830,930,28.51
100831,5000831,931,28.52
100832,5000832,932,28.53
100833,5000833,933,28.54
100834,5000834,934,28.55
100835,5000835,935,28.56
100836,5000836,936,28.57
100837,5000837,937,28.58
100838,5000838,938,28.59
100839,5000839,939,28.6
100840,5000840,940,28.61
100841,5000841,941,28.62
100842,5000842,942,28.63
100843,5000843,943,28.64
100844,5000844,944,28.65
100845,5000845,945,28.66
100846,5000846,946,28.67
100847,5000847,947,28.68
100848,5000848,948,28.69
100849,5000849,949,28.7
100850,5000850,950,28.71
100851,5000851,951,28.72
100852,5000852,952,28.73
100853,5000853,953,28.74
100854,5000854,954,28.75
100855,5000855,955,28.76
100856,5000856,956,28.77
100857,5000857,957,28.78
100858,5000858,958,28.79
100859,5000859,959,28.8
100860,5000860,960,28.81
100861,5000861,961,28.82
100862,5000862,962,28.83
100863,5000863,963,28.84
100864,5000864,964,28.85
100865,5000865,965,28.86
100866,5000866,966,28.87
100867,5000867,967,28.88
100868,5000868,968,28.89
100869,5000869,969,28.9
100870,5000870,970,28.91
100871,5000871,971,28.92
100872,5000872,972,28.93
100873,5000873,973,28.94
100874,5000874,974,28.95
100875,5000875,975,28.96
100876,5000876,976,28.97
100877,5000877,977,28.98
100878,5000878,978,28.99
100879,5000879,979,29
100880,5000880,980,29.01
100881,5000881,981,29.02
100882,5000882,982,29.03
100883,5000883,983,29.04
100884,5000884,984,29.05
100885,5000885,985,29.06
100886,5000886,986,29.07
100887,5000887,987,29.08
100888,5000888,988,29.09
100889,5000889,989,29.1
100890,5000890,990,29.11
100891,5000891,991,29.12
100892,5000892,992,29.13
100893,5000893,993,29.14
100894,5000894,994,29.15
100895,5000895,995,29.16
100896,5000896,996,29.17
100897,5000897,997,29.18
100898,5000898,998,29.19
100899,5000899,999,29.2
100900,5000900,1000,29.21
100901,5000901,1001,29.22
100902,5000902,1002,29.23
100903,5000903,1003,29.24
100904,5000904,1004,29.25
100905,5000905,1005,29.26
100906,5000906,1006,29.27
100907,5000907,1007,29.28
100908,5000908,1008,29.29
100909,5000909,1009,29.3
100910,5000910,1010,29.31
100911,5000911,1011,29.32
100912,5000912,1012,29.33
100913,5000913,1013,29.34
100914,5000914,1014,29.35
100915,5000915,1015,29.36
100916,5000916,1016,29.37
100917,5000917,1017,29.38
100918,5000918,1018,29.39
100919,5000919,1019,29.4
100920,5000920,1020,29.41
100921,5000921,1021,29.42
100922,5000922,1022,29.43
100923,5000923,1023,29.44
100924,5000924,1024,29.45
100925,5000925,1025,29.46
100926,5000926,1026,29.47
100927,5000927,1027,29.48
100928,5000928,1028,29.49
100929,5000929,1029,29.5
100930,5000930,1030,29.51
100931,5000931,1031,29.52
100932,5000932,1032,29.53
100933,5000933,1033,29.54
100934,5000934,1034,29.55
100935,5000935,1035,29.56
100936,5000936,1036,29.57
100937,5000937,1037,29.58
100938,5000938,1038,29.59
100939,5000939,1039,29.6
100940,5000940,1040,29.61
100941,5000941,1041,29.62
100942,5000942,1042,29.63
100943,5000943,1043,29.64
100944,5000944,1044,29.65
100945,5000945,1045,29.66
100946,5000946,1046,29.67
100947,5000947,1047,29.68
100948,5000948,1048,29.69
100949,5000949,1049,29.7
100950,5000950,1050,29.71
100951,5000951,1051,29.72
100952,5000952,1052,29.73
100953,5000953,1053,29.74
100954,5000954,1054,29.75
100955,5000955,1055,29.76
100956,5000956,1056,29.77
100957,5000957,1057,29.78
100958,5000958,1058,29.79
100959,5000959,1059,29.8
100960,5000960,1060,29.81
100961,5000961,1061,29.82
100962,5000962,1062,29.83
100963,5000963,1063,29.84
100964,5000964,1064,29.85
100965,5000965,1065,29.86
100966,5000966,1066,29.87
100967,5000967,1067,29.88
100968,5000968,1068,29.89
100969,5000969,1069,29.9
100970,5000970,1070,29.91
100971,5000971,1071,29.92
100972,5000972,1072,29.93
100973,5000973,1073,29.94
100974,5000974,1074,29.95
100975,5000975,1075,29.96
100976,5000976,1076,29.97
100977,5000977,1077,29.98
100978,5000978,1078,29.99
100979,5000979,1079,30
100980,5000980,1080,30.01
100981,5000981,1081,30.02
100982,5000982,1082,30.03
100983,5000983,1083,30.04
100984,5000984,1084,30.05
100985,5000985,1085,30.06
100986,5000986,1086,30.07
100987,5000987,1087,30.08
100988,5000988,1088,30.09
100989,5000989,1089,30.1
100990,5000990,1090,30.11
100991,5000991,1091,30.12
100992,5000992,1092,30.13
100993,5000993,1093,30.14
100994,5000994,1094,30.15
100995,5000995,1095,30.16
100996,5000996,1096,30.17
100997,5000997,1097,30.18
100998,5000998,1098,30.19
100999,5000999,1099,30.2
101000,5001000,1100,30.21
101001,5001001,1101,30.22
101002,5001002,1102,30.23
101003,5001003,1103,30.24
101004,5001004,1104,30.25
101005,5001005,1105,30.26
101006,5001006,1106,30.27
101007,5001007,1107,30.28
101008,5001008,1108,30.29
101009,5001009,1109,30.3
101010,5001010,1110,30.31
101011,5001011,1111,30.32
101012,5001012,1112,30.33
101013,5001013,1113,30.34
101014,5001014,1114,30.35
101015,5001015,1115,30.36
101016,5001016,1116,30.37
101017,5001017,1117,30.38
101018,5001018,1118,30.39
101019,5001019,1119,30.4
101020,5001020,1120,30.41
101021,5001021,1121,30.42
101022,5001022,1122,30.43
101023,5001023,1123,30.44
101024,5001024,1124,30.45
101025,5001025,1125,30.46
101026,5001026,1126,30.47
101027,5001027,1127,30.48
101028,5001028,1128,30.49
101029,5001029,1129,30.5
101030,5001030,1130,30.51
101031,5001031,1131,30.52
101032,5001032,1132,30.53
101033,5001033,1133,30.54
101034,5001034,1134,30.55
101035,5001035,1135,30.56
101036,5001036,1136,30.57
101037,5001037,1137,30.58
101038,5001038,1138,30.59
101039,5001039,1139,30.6
101040,5001040,1140,30.61
101041,5001041,1141,30.62
101042,5001042,1142,30.63
101043,5001043,1143,30.64
101044,5001044,1144,30.65
101045,5001045,1145,30.66
101046,5001046,1146,30.67
101047,5001047,1147,30.68
101048,5001048,1148,30.69
101049,5001049,1149,30.7
101050,5001050,1150,30.71
101051,5001051,1151,30.72
101052,5001052,1152,30.73
101053,5001053,1153,30.74
101054,5001054,1154,30.75
101055,5001055,1155,30.76
101056,5001056,1156,30.77
101057,5001057,1157,30.78
101058,5001058,1158,30.79
101059,5001059,1159,30.8
101060,5001060,1160,30.81
101061,5001061,1161,30.82
101062,5001062,1162,30.83
